Instrument Type,Date,Traded Contract(Lots),Quantity (000's),Total Value (Lacs)
FUTCOM,20 Feb 2006,6996,6996,56285.3
FUTCOM,21 Feb 2006,28219,28219,226602.74
FUTCOM,22 Feb 2006,31170,31170,250394.7
FUTCOM,23 Feb 2006,26486,26486,212556.64
FUTCOM,24 Feb 2006,33031,33031,265888.59
FUTCOM,25 Feb 2006,1985,1985,16064.49
FUTCOM,27 Feb 2006,21470,21470,172961.17
FUTCOM,28 Feb 2006,25542,25542,206482.78
FUTCOM,01 Mar 2006,33215,33215,270397.04
FUTCOM,02 Mar 2006,26790,26790,218644.66
FUTCOM,03 Mar 2006,32004,32004,262297.37
FUTCOM,04 Mar 2006,978,978,8003.82
FUTCOM,06 Mar 2006,38805,38805,315544.72
FUTCOM,07 Mar 2006,48618,48618,390060.92
FUTCOM,08 Mar 2006,52336,52336,415879.48
FUTCOM,09 Mar 2006,44358,44358,353648.99
FUTCOM,10 Mar 2006,53141,53141,419665.28
FUTCOM,11 Mar 2006,1568,1568,12404.78
FUTCOM,13 Mar 2006,22532,22532,179094.47
FUTCOM,14 Mar 2006,27973,27973,223129.84
FUTCOM,15 Mar 2006,21227,21227,171170.41
FUTCOM,16 Mar 2006,56345,56345,452950.82
FUTCOM,17 Mar 2006,30184,30184,243481.24
FUTCOM,18 Mar 2006,1245,1245,10038.6
FUTCOM,20 Mar 2006,34969,34969,281626.48
FUTCOM,21 Mar 2006,49907,49907,400122.15
FUTCOM,22 Mar 2006,30527,30527,244678.33
FUTCOM,23 Mar 2006,33033,33033,264009.22
FUTCOM,24 Mar 2006,46435,46435,375325.12
FUTCOM,25 Mar 2006,3347,3347,27308.3
FUTCOM,27 Mar 2006,41231,41231,338651.52
FUTCOM,28 Mar 2006,31566,31566,259631.88
FUTCOM,29 Mar 2006,39533,39533,325795.38
FUTCOM,30 Mar 2006,65657,65657,555089.06
FUTCOM,31 Mar 2006,49335,49335,419777.11
FUTCOM,01 Apr 2006,1516,1516,12805.93
FUTCOM,03 Apr 2006,27444,27444,235390.82
FUTCOM,04 Apr 2006,31839,31839,273227.86
FUTCOM,05 Apr 2006,39360,39360,337290.42
FUTCOM,06 Apr 2006,41080,41080,356164.56
FUTCOM,07 Apr 2006,48982,48982,423729.5
FUTCOM,08 Apr 2006,1601,1601,13831.53
FUTCOM,10 Apr 2006,42715,42715,373216.54
FUTCOM,11 Apr 2006,47304,47304,416624.33
FUTCOM,12 Apr 2006,33985,33985,298834.82
FUTCOM,13 Apr 2006,27822,27822,244390.88
FUTCOM,15 Apr 2006,7171,7171,63731.65
FUTCOM,17 Apr 2006,37213,37213,334688.12
FUTCOM,18 Apr 2006,29906,29906,273359.55
FUTCOM,19 Apr 2006,59363,59363,553906.36
FUTCOM,20 Apr 2006,95471,95471,899764.01
FUTCOM,21 Apr 2006,45109,45109,414377.3
FUTCOM,22 Apr 2006,5675,5675,53987.87
FUTCOM,24 Apr 2006,49333,49333,459860.06
FUTCOM,25 Apr 2006,34668,34668,323161.65
FUTCOM,26 Apr 2006,29191,29191,274977.33
FUTCOM,27 Apr 2006,42158,42158,397991.51
FUTCOM,28 Apr 2006,33486,33486,319352.7
FUTCOM,29 Apr 2006,3877,3877,37421.91
FUTCOM,01 May 2006,20638,20638,200501.53
FUTCOM,02 May 2006,29963,29963,292793.79
FUTCOM,03 May 2006,52133,52133,515086.13
FUTCOM,04 May 2006,45333,45333,447486.3
FUTCOM,05 May 2006,39054,39054,389774.15
FUTCOM,06 May 2006,2714,2714,27274.9
FUTCOM,08 May 2006,36564,36564,365721.02
FUTCOM,09 May 2006,42581,42581,431542.28
FUTCOM,10 May 2006,41642,41642,429046.73
FUTCOM,11 May 2006,54254,54254,571817.31
FUTCOM,12 May 2006,55178,55178,587431.46
FUTCOM,13 May 2006,2225,2225,23572.67
FUTCOM,15 May 2006,61700,61700,638394.37
FUTCOM,16 May 2006,45491,45491,466185.88
FUTCOM,17 May 2006,56843,56843,595303.68
FUTCOM,18 May 2006,38356,38356,393345.13
FUTCOM,19 May 2006,53888,53888,537593.56
FUTCOM,20 May 2006,3463,3463,34052.82
FUTCOM,22 May 2006,52343,52343,503956.72
FUTCOM,23 May 2006,40776,40776,402546.23
FUTCOM,24 May 2006,52415,52415,512103.05
FUTCOM,25 May 2006,42918,42918,413275.31
FUTCOM,26 May 2006,36970,36970,358288.62
FUTCOM,27 May 2006,1706,1706,16600.97
FUTCOM,29 May 2006,3657,3657,35503.7
FUTCOM,30 May 2006,40522,40522,399916.81
FUTCOM,31 May 2006,41622,41622,408617.15
FUTCOM,01 Jun 2006,45290,45290,434734.21
FUTCOM,02 Jun 2006,36201,36201,347697.14
FUTCOM,03 Jun 2006,1050,1050,10114.83
FUTCOM,05 Jun 2006,21287,21287,206603.84
FUTCOM,06 Jun 2006,31764,31764,303166.9
FUTCOM,07 Jun 2006,36748,36748,345928.08
FUTCOM,08 Jun 2006,43638,43638,406984.22
FUTCOM,09 Jun 2006,40450,40450,374285.27
FUTCOM,10 Jun 2006,1859,1859,17070.51
FUTCOM,12 Jun 2006,31566,31566,288784.53
FUTCOM,13 Jun 2006,53567,53567,474594.04
FUTCOM,14 Jun 2006,52071,52071,443327.9
FUTCOM,15 Jun 2006,42812,42812,370070.76
FUTCOM,16 Jun 2006,40703,40703,354399.44
FUTCOM,17 Jun 2006,1757,1757,15336.6
FUTCOM,19 Jun 2006,34646,34646,297959.74
FUTCOM,20 Jun 2006,39700,39700,341129.34
FUTCOM,21 Jun 2006,37840,37840,329663.48
FUTCOM,22 Jun 2006,46197,46197,409875.7
FUTCOM,23 Jun 2006,44688,44688,391347.14
FUTCOM,24 Jun 2006,958,958,8428.4
FUTCOM,26 Jun 2006,32122,32122,283108.4
